eap,parameter
1.74604583867,ability[0]
0.720091915117,ability[1]
1.02329920504,ability[2]
1.3279658255,ability[3]
1.66394949578,ability[4]
1.66307303453,ability[5]
1.10775988724,ability[6]
1.06282209697,ability[7]
1.43046928744,ability[8]
1.00176281015,ability[9]
0.366896545858,ability[10]
1.36184205506,ability[11]
0.240470293595,ability[12]
0.870073391568,ability[13]
0.719129327645,ability[14]
1.48083468708,ability[15]
0.823103785841,ability[16]
-1.05310801536,ability[17]
1.40929491816,ability[18]
0.784342586838,ability[19]
0.48547418593,ability[20]
0.57199473263,ability[21]
0.916808413274,ability[22]
0.88632576246,ability[23]
1.88849147164,ability[24]
0.71266306955,ability[25]
0.847020712287,ability[26]
1.14522527345,ability[27]
1.74942653705,ability[28]
1.04943203881,ability[29]
-0.00397801991782,ability[30]
0.568587434934,ability[31]
0.719070755594,ability[32]
0.531421750942,ability[33]
1.52734131724,ability[34]
1.71237452866,ability[35]
1.39688975727,ability[36]
1.3485315294,ability[37]
1.33794181818,ability[38]
1.93421575862,ability[39]
1.76396594687,ability[40]
1.05418173057,ability[41]
1.65075507637,ability[42]
1.72087357179,ability[43]
-0.339170376703,ability[44]
1.90629875873,ability[45]
1.04816019644,ability[46]
1.03494243154,ability[47]
0.951390364948,ability[48]
1.56416119994,ability[49]
0.140153155587,ability[50]
-0.841950445215,ability[51]
0.511439721473,ability[52]
0.569414024333,ability[53]
1.70787180105,ability[54]
0.237234686225,ability[55]
0.542427607745,ability[56]
1.30733293709,ability[57]
1.62662106452,ability[58]
1.30309477566,ability[59]
0.527963834521,ability[60]
0.729616488114,ability[61]
1.38192061118,ability[62]
1.06200470109,ability[63]
0.505367207537,ability[64]
0.172161247816,ability[65]
0.107014882924,ability[66]
0.521130872194,ability[67]
0.881762474127,ability[68]
1.13040815039,ability[69]
1.07835418765,ability[70]
1.0189995157,ability[71]
0.309660045828,ability[72]
0.766605946195,ability[73]
1.44078008657,ability[74]
1.69868086299,ability[75]
0.985424294803,ability[76]
-0.0196930209451,ability[77]
0.799879882211,ability[78]
0.857955882094,ability[79]
0.528562377174,ability[80]
0.724425609871,ability[81]
1.16107093231,ability[82]
0.284394352475,ability[83]
0.999558841589,ability[84]
0.591636394895,ability[85]
0.561226879068,ability[86]
0.0318332975791,ability[87]
0.350074465805,ability[88]
0.833990325226,ability[89]
1.03872032924,ability[90]
0.217677270417,ability[91]
0.216846184158,ability[92]
0.722685209672,ability[93]
0.252599232315,ability[94]
0.515710941534,ability[95]
0.386592530809,ability[96]
-0.101571201395,ability[97]
0.898249180047,ability[98]
0.151077393785,ability[99]
0.350136482361,ability[100]
0.712733867759,ability[101]
1.02040261041,ability[102]
0.383565888245,ability[103]
0.902208416811,ability[104]
1.04429880585,ability[105]
0.716624565854,ability[106]
0.656901677629,ability[107]
-0.103029216531,ability[108]
0.772659362275,ability[109]
1.65572459417,ability[110]
0.161123363582,ability[111]
0.767584743557,ability[112]
1.06584105397,ability[113]
0.366320961591,ability[114]
0.433354787266,ability[115]
0.207165956403,ability[116]
0.719786569307,ability[117]
0.607800512991,ability[118]
0.779493525273,ability[119]
0.390537810609,ability[120]
1.36110433779,ability[121]
0.448118495688,ability[122]
0.157546951825,ability[123]
0.713619302679,ability[124]
0.586484098028,ability[125]
0.689299739274,ability[126]
0.471748746332,ability[127]
0.850736162214,ability[128]
1.08549913447,ability[129]
-0.145621647678,ability[130]
0.64300729547,ability[131]
0.944708732319,ability[132]
0.881249449959,ability[133]
0.620769623651,ability[134]
0.198146989905,ability[135]
1.43836727873,ability[136]
0.947410322934,ability[137]
-0.1797807169,ability[138]
0.160877151366,ability[139]
0.713855617174,ability[140]
1.1462341064,ability[141]
0.968500266661,ability[142]
1.14988112231,ability[143]
0.402766655125,ability[144]
0.859380555578,ability[145]
0.544674353143,ability[146]
0.887856856204,ability[147]
0.699183575277,ability[148]
0.114606262592,ability[149]
0.960582666096,ability[150]
0.534300333216,ability[151]
0.53168792023,ability[152]
0.564332455052,ability[153]
0.533144981969,ability[154]
1.23645856923,ability[155]
1.26986388469,ability[156]
0.877033422073,ability[157]
0.856297832829,ability[158]
0.530402696969,ability[159]
0.102186109763,ability[160]
1.23990893297,ability[161]
0.910186578854,ability[162]
0.970921851825,ability[163]
1.29800703081,ability[164]
1.03709273499,ability[165]
0.900059383858,ability[166]
1.07818452944,ability[167]
1.04327496781,ability[168]
1.12231620062,ability[169]
0.885667073275,ability[170]
-0.202123775281,ability[171]
0.413228213627,ability[172]
0.826798756681,ability[173]
1.4533434689,ability[174]
0.153815362323,ability[175]
0.866966247649,ability[176]
1.59214320534,ability[177]
1.31598986621,ability[178]
0.542031085002,ability[179]
0.934747676725,ability[180]
0.217339798678,ability[181]
0.974536215669,ability[182]
1.27438615329,ability[183]
1.13076134312,ability[184]
1.12319560118,ability[185]
0.868998084511,ability[186]
0.922349377923,ability[187]
1.16505886847,ability[188]
0.712778738425,ability[189]
0.80288049093,ability[190]
1.0550260329,ability[191]
0.538996200964,ability[192]
0.0881140778165,ability[193]
0.594824272876,ability[194]
0.458888122282,ability[195]
-0.111027859674,ability[196]
0.175918746893,ability[197]
0.819437970044,ability[198]
0.18011314793,ability[199]
-0.622522598213,ability[200]
-0.151202829417,ability[201]
0.648023045648,ability[202]
0.57347121704,ability[203]
0.494243031776,ability[204]
0.610431857131,ability[205]
1.1095838616,ability[206]
0.0689080993482,ability[207]
0.46882701534,ability[208]
0.206563005415,ability[209]
0.900629908428,ability[210]
0.527311128793,ability[211]
0.957306870614,ability[212]
0.436671780122,ability[213]
1.10597760627,ability[214]
0.377523616885,ability[215]
0.979983010475,ability[216]
0.886607092534,ability[217]
0.603669911157,ability[218]
1.50760888051,ability[219]
1.15863979927,ability[220]
0.658541113906,ability[221]
0.694434429634,ability[222]
0.244649837104,ability[223]
0.122150482266,ability[224]
0.26765315793,ability[225]
1.09728581688,ability[226]
0.574470953653,ability[227]
0.449551993879,ability[228]
1.21903171049,ability[229]
0.844590234266,ability[230]
0.97658130177,ability[231]
-0.164671010421,ability[232]
0.0246512729553,ability[233]
0.55895301351,ability[234]
0.628810728785,ability[235]
0.565898625392,ability[236]
-0.21397704366,ability[237]
0.297662872137,ability[238]
0.620694820391,ability[239]
0.584163285307,ability[240]
0.531588027097,ability[241]
0.488952152198,ability[242]
0.782840169652,ability[243]
0.527719450655,ability[244]
0.779069754087,ability[245]
0.889583423484,ability[246]
-0.294846061055,ability[247]
1.04355448823,ability[248]
0.715468363605,ability[249]
1.2776602976,ability[250]
0.739608327776,ability[251]
-0.160918658004,ability[252]
1.26130310195,ability[253]
1.23450856909,ability[254]
0.538491370495,ability[255]
0.879347713339,ability[256]
0.319513332569,ability[257]
0.0101245055442,ability[258]
0.366148915334,ability[259]
-0.270457042795,ability[260]
0.368981001093,ability[261]
0.825222810971,ability[262]
0.989883061986,ability[263]
1.296315077,ability[264]
0.690120291839,ability[265]
1.08205026335,ability[266]
0.842764882366,ability[267]
1.05827021173,ability[268]
0.893262011926,ability[269]
0.160070443934,ability[270]
0.578920245378,ability[271]
1.29395232981,ability[272]
1.04167606675,ability[273]
1.57958309376,ability[274]
0.75688407822,ability[275]
0.389821092335,ability[276]
0.890592773822,ability[277]
-0.680273227152,ability[278]
0.392041185452,ability[279]
0.530739649678,ability[280]
-0.689246659838,ability[281]
0.227096285145,ability[282]
1.41127850321,ability[283]
0.581936718101,ability[284]
0.988506767743,ability[285]
0.538759017813,ability[286]
0.400210330775,ability[287]
0.514922432525,ability[288]
0.84760318981,ability[289]
0.492688539386,ability[290]
0.53599791898,ability[291]
0.19505556524,ability[292]
0.939647694393,ability[293]
0.0171840861914,ability[294]
0.525854697889,ability[295]
0.927677797148,ability[296]
0.721389933327,ability[297]
0.562906853694,ability[298]
0.734850388925,ability[299]
0.572306500157,ability[300]
1.27817786511,ability[301]
0.549721020515,ability[302]
0.384954208722,ability[303]
