file,mu0,gamma0,beta0,eta0,kappa0,lambda0,scale0
PG5PC2a-20171226133602.pkl,1.92838401248,3.25420745981,40.0053912698,57.2622218412,84.4236558015,33.0441716287,0.290598102182
PG5PC2a-20171226134249.pkl,1.15563763726,15.176117193,79.5512530343,51.7227320705,47.7917357549,31.9324916024,0.397848290818
PG5PC2a-20171226134454.pkl,3.66245415076,20.6341235632,3.35143138811,90.8898818876,50.7952267722,22.9674256813,0.13791482293
PG5PC2a-20171226134821.pkl,2.77528295214,16.5071612631,31.1598354952,47.9921699277,44.6726469739,23.808991922,0.786618555383
PG5PC2a-20171226140137.pkl,1.75089748434,11.7109728666,99.2218219783,37.8287221341,36.2973951737,96.0517480288,0.814108568612
PG5PC2a-20171226140410.pkl,2.18410217648,14.4668890959,2.37460678851,64.8865495508,19.2488577176,82.7897408767,0.560361300449
PG5PC2a-20171226141526.pkl,3.83718330305,26.7459673693,65.646235442,55.3466154749,45.5650297439,92.4898977424,0.160479794838
PG5PC2a-20171226142523.pkl,0.333258840444,6.74846436913,19.8156881016,66.1917056997,54.0820154157,99.0889170663,0.269379831991
PG5PC2a-20171226145105.pkl,1.75868674381,20.6258935563,20.9256128424,12.8725499471,31.0941010778,30.2805502962,0.448796257476
PG5PC2a-20171226145310.pkl,0.50023276056,13.6917031271,12.0398435271,55.6135186145,64.3321123482,65.7948019774,0.0791041454658
PG5PC2a-20171226145956.pkl,1.32559725705,16.3861482489,77.2565604831,51.7088716463,22.7912415369,12.1600045757,0.356678501325
PG5PC2a-20171226151333.pkl,0.834717431863,8.48448200781,95.3506081292,94.1603410759,82.4352648059,31.7452111276,0.479303462073
PG5PC2a-20171226152715.pkl,2.03890258767,2.80795744651,34.2229986853,33.4150576673,36.5033691753,97.2217740733,0.60595561499
PG5PC2a-20171226154056.pkl,3.79921982412,8.95163745931,99.0759148483,32.4206639326,54.7355801921,74.1414724186,0.975328461472
PG5PC2a-20171226154423.pkl,3.76206946851,29.7540148329,57.739478414,57.9209259734,54.5884586776,2.95298946226,0.367547758064
PG5PC2a-20171226154757.pkl,3.66169461122,19.1906194749,40.0728805228,41.1057808247,50.4160534463,98.3344376304,0.299540833459
PG5PC2a-20171226155439.pkl,3.05172925217,5.98577809763,23.6592232,51.611121788,86.8229328726,83.7970516545,0.335169225401
PG5PC2a-20171226160124.pkl,2.19143737711,11.1980407296,52.4643700976,70.0641409795,7.14889285978,48.0224987526,0.798307758928
PG5PC2a-20171226160758.pkl,3.86338296795,29.0080291388,87.0979031515,49.8784957227,32.2715437447,89.4734059417,0.617633850535
PG5PC2a-20171226160956.pkl,3.95877079405,16.6610964625,15.1564523022,85.5731779015,46.4935885072,64.8363148225,0.177610751103
PG5PC2a-20171226161652.pkl,2.96878640731,15.8315026118,76.2831915108,7.80239280375,95.6828967289,65.4179773757,0.703686585443
PG5PC2a-20171226162017.pkl,0.670254951238,15.7639534678,30.8546638342,26.0948722174,14.7973286267,74.3213703099,0.508052328773
PG5PC2a-20171226164629.pkl,0.785193372554,4.82801021174,85.7842539479,28.2987554526,1.76123722827,84.3566615786,0.727341120088
PG5PC2a-20171226170204.pkl,3.4607344674,8.36460123029,23.8727586983,72.1601145563,98.7072521284,24.4795668343,0.357109122538
PG5PC2a-20171226170847.pkl,1.51967175577,20.805047925,99.563185674,35.8226762947,80.5150087085,51.2047047754,0.0784228905038
PG5PC2a-20171226171224.pkl,1.05373871712,2.99933947992,5.14817620309,22.7900787417,2.91585358743,3.8444660423,0.304530458565
PG5PC2a-20171226173852.pkl,1.75318570992,1.75417219751,31.2549579471,31.8827476643,72.7535904171,77.1200677615,0.271908626217
PG5PC2a-20171226175216.pkl,0.955798566122,9.33078888845,29.6236731405,74.3119126762,96.2916962737,66.9846518564,0.556286127534
PG5PC2a-20171226180530.pkl,1.98988708584,11.3414508232,94.4024041936,44.1517569864,84.3088597686,25.701637876,0.315546384109
PG5PC2a-20171226181213.pkl,1.74477159209,12.4134282061,48.3785416474,12.2923123568,47.9799293959,35.3302922387,0.892822475522
PG5PC2a-20171226181538.pkl,1.02598737614,21.6252777621,45.296296123,17.7635109021,42.4543587105,67.653527413,0.351029995907
PG5PC2a-20171226182206.pkl,1.00732401062,15.5171710974,49.5789030792,56.3716154651,26.7099201528,86.1097725123,0.676460275722
PG5PC2a-20171226184741.pkl,3.46770804993,2.64916270852,44.8502450583,10.8823687371,74.5418361109,37.3142281568,0.753468380659
PG5PC2a-20171226184931.pkl,1.5153333871,19.1468363155,16.6058185901,50.3618943271,33.7866142029,56.0999278719,0.882938589604
PG5PC2a-20171226190253.pkl,0.841040691423,9.27256874373,91.6750393595,53.4606531865,62.0449331469,52.8379883515,0.639189330771
PG5PC2a-20171226191624.pkl,2.02106473178,9.28355596742,86.1542514799,22.9802302247,55.1236152227,93.5777957636,0.839869656713
PG5PC2a-20171226194023.pkl,3.90116439222,4.89809338328,71.5070891122,35.78459554,67.8058110826,39.630351051,0.870766668016
PG5PC2a-20171226194706.pkl,3.79532117715,12.0079397333,57.860845428,95.8572255954,5.12815649248,82.8047371933,0.934892262132
PG5PC2a-20171226201510.pkl,0.23585180694,3.50743972816,88.2989681394,44.9956390274,94.0485873116,81.7028275119,0.10555121999
PG5PC2a-20171226202142.pkl,2.08595005398,19.0035481074,67.4257163503,16.6126983183,56.0753594126,84.8720166703,0.745321776324
