sender_id,receiver_id,corrected,value
57,165,1,2.0
172,180,0,4.0
4,60,0,4.0
165,264,1,2.0
101,8,1,2.0
247,326,1,3.0
184,206,0,4.0
166,58,1,1.0
101,165,0,4.0
80,25,1,2.0
132,165,0,2.0
247,360,1,4.0
34,342,1,3.0
101,19,1,3.0
101,30,0,2.0
30,165,1,1.0
101,99,1,3.0
5,120,0,4.0
34,58,1,1.0
170,180,1,1.0
97,269,1,2.0
62,35,1,3.0
111,93,1,2.0
34,312,1,2.0
134,14,0,4.0
101,109,0,4.0
192,287,0,3.0
133,53,0,4.0
140,19,1,3.0
97,34,1,3.0
158,195,1,3.0
170,278,1,1.0
55,14,0,3.0
165,37,1,2.0
132,165,0,3.0
165,166,1,2.0
154,165,0,4.0
30,165,1,1.0
165,195,1,2.0
226,16,1,3.0
247,16,1,3.0
30,180,1,0.0
132,58,0,2.0
57,93,1,2.0
101,34,1,3.0
34,169,1,0.0
144,34,1,3.0
60,70,0,4.0
34,111,1,3.0
111,53,1,3.0
97,57,1,3.0
140,58,1,2.0
97,31,1,3.0
97,58,1,2.0
34,113,1,3.0
34,246,1,0.0
132,351,1,2.0
247,58,0,4.0
92,99,1,2.0
132,351,0,4.0
101,58,1,3.0
237,39,0,4.0
30,166,1,3.0
132,58,0,3.0
101,97,0,4.0
165,101,0,1.0
34,318,1,1.0
73,165,0,4.0
57,39,0,4.0
52,114,1,3.0
3,157,1,3.0
132,247,0,4.0
5,287,0,4.0
34,304,1,2.0
34,299,1,1.0
237,44,1,3.0
57,354,1,2.0
107,118,1,3.0
226,58,1,3.0
123,286,1,2.0
129,58,1,2.0
34,194,1,0.0
170,247,1,2.0
14,17,0,4.0
34,166,1,4.0
57,351,1,3.0
247,343,1,1.0
165,154,1,2.0
176,165,0,4.0
132,165,0,2.0
25,133,0,3.0
159,192,1,3.0
113,14,1,4.0
165,269,1,2.0
133,170,1,3.0
134,19,0,4.0
57,349,1,3.0
33,74,0,3.0
34,19,1,3.0
34,246,1,0.0
132,81,0,3.0
